Kimlik,Tür,"Stok kodu (SKU)","GTIN, UPC, EAN veya ISBN",İsim,Yayımlanmış,"Öne çıkan?","Katalogda görünürlük","Kısa açıklama",Açıklama,"İndirimli fiyatın başladığı tarih","İndirimli fiyatın bittiği tarih","Vergi durumu","Vergi sınıfı",Stokta?,Stok,"Düşük stok miktarı","Ön Siparişe İzin Ver?","Ayrı ayrı mı satılıyor?","Ağırlık (kg)","Uzunluk (cm)","Genişlik (cm)","Yükseklik (cm)","Müşteri değerlendirmelerine izin verilsin mi?","Satın alma notu","İndirimli satış fiyatı","Normal fiyat",Kategoriler,Etiketler,"Gönderim sınıfı",Görseller,"İndirme sınırı","İndirme sona erme günü",Ebeveyn,"Gruplanmış ürünler","Yukarı satışlar","Çapraz satışlar","Harici URL","Düğme metni",Konum,Markalar,"Nitelik 1 ismi","Nitelik 1 değer(ler)i","Nitelik 1 görünür","Nitelik 1 genel","Meta: _porto_demo","Meta: _aioseo_keywords","Meta: _aioseo_og_article_section","Meta: _aioseo_og_article_tags","Meta: _monsterinsights_sitenote_active","Meta: custom_tab_priority1","Meta: custom_tab_priority2","Meta: _aioseo_title","Meta: _aioseo_description","Meta: _aioseo_og_title","Meta: _aioseo_og_description","Meta: _aioseo_twitter_title","Meta: _aioseo_twitter_description","Meta: product_image_on_hover","Meta: header_view","Meta: layout","Meta: custom_tab_title1","Meta: custom_tab_content1","Meta: custom_tab_title2","Meta: custom_tab_content2","Meta: custom_tab_priority3","Meta: _wc_gla_visibility","Meta: _wc_gla_synced_at","Meta: _wc_gla_sync_status","Meta: _yoast_wpseo_primary_product_cat","Meta: _yoast_wpseo_content_score","Meta: _yoast_wpseo_estimated-reading-time-minutes","Meta: fb_product_group_id","Meta: _wc_facebook_commerce_enabled","Meta: _yoast_wpseo_primary_product_brand","Meta: _yoast_wpseo_primary_fb_product_set","Meta: _wa_order_phone_number_check","Meta: _wa_order_phone_number","Meta: _wa_order_button_text","Meta: _wa_order_custom_message","Meta: _hide_wa_button","Meta: _hide_atc_button","Meta: _force_show_atc_button","Meta: _wc_gla_mc_status","Meta: fb_product_item_id","Meta: _wc_facebook_sync_enabled","Meta: fb_visibility","Meta: fb_product_description","Meta: _wc_facebook_product_image_source","Meta: fb_product_image","Meta: fb_product_price","Meta: rs_page_bg_color","Meta: variation_swatches_disabled","Meta: _wp360view_images","Meta: porto_product_360_gallery","Meta: _wpb_post_custom_layout"
1494,variable,VX-036,,"Ambra İtalyan Deri Modern Koltuk",1,0,visible,"Hakiki deriden vazgeçemeyenlerin tercihi <b>Ambra </b>Modern koltuk./wp-content/uploads//wp-content/uploads//wp-content/uploads//wp-content/uploads//wp-content/uploads//wp-content/uploads//wp-content/uploads//wp-content/uploads//wp-content/uploads/
\n
\nYaşam alanınıza değer katan modern tasarımıyla evinizin veya ofisinizin baş köşesine layık.
\n
\nMütevazilikten uzak ve modern görünümüyle görenleri kendine hayran bırakacak.
\n
\nFarklı renk seçenekleri ile her mekana uyum sağlayacaktır.
\n
\n<span style=""color: #800000;""><strong>Lütfen sepete eklemeden önce renk seçimi yapınız!</strong></span>","Ambra Modern Koltuk Tamamen El İşçiliği İle Üretilmiştir.
\n
\n<strong>Malzeme :</strong> %100 Orjinal İthal Dana Derisinden Üretilmiştir.
\n
\n<strong>Ayaklar :</strong>
\n
\n<strong>Ürün Ölçüleri : </strong>
\n/wp-content/uploads/
\n<strong>İskelet :</strong>/wp-content/uploads/
\n/wp-content/uploads/
\n<strong>Sünger :</strong> Konfor Tercihi İçin <strong>35 DNS</strong> Soft Sünger Kullanılmıştır./wp-content/uploads/
\n/wp-content/uploads/
\n<strong>Doğal Olması Nedeniyle Hakiki Deri Kullanımı Sağlıklıdır ve Bakımı Kolaydır.</strong>/wp-content/uploads/
\n/wp-content/uploads//wp-content/uploads//wp-content/uploads//wp-content/uploads//wp-content/uploads//wp-content/uploads//wp-content/uploads/
\n<span style=""color: #800000;""><strong>İsteğe Göre Farklı Ölçülerde Üretim Yapılmaktadır.</strong></span>",,,taxable,,1,,,0,0,,,,,0,,,,"Modern Koltuk",,,"https://www.veluxe.com.tr/wp-content/uploads/2024/10/ambra-sahneli.png, https://www.veluxe.com.tr/wp-content/uploads/2024/10/2.jpg, https://www.veluxe.com.tr/wp-content/uploads/2024/10/1.jpg, https://www.veluxe.com.tr/wp-content/uploads/2024/10/3.jpg, https://www.veluxe.com.tr/wp-content/uploads/2024/10/4.jpg, https://www.veluxe.com.tr/wp-content/uploads/2024/10/8.jpg, https://www.veluxe.com.tr/wp-content/uploads/2024/10/7.jpg, https://www.veluxe.com.tr/wp-content/uploads/2024/10/6.jpg, https://www.veluxe.com.tr/wp-content/uploads/2024/10/5.jpg",,,,,,,,,0,,Renkler,"Beyaz, Bordo, Kahverengi, Lacivert, Siyah, Yeşil",1,1,shop49#60,,,,0,12,11,,,,,,,yes,default,right-sidebar,"Garanti Koşulları","Standart mobilya ürünleri için yasal garanti süresi 2 ( iki ) yıldır.

Ancak Veluxe. olarak biz bu süreyi 4 yıla çıkartmaktayız.

Satın almış olduğunuz ürün <strong>4 yıl</strong> boyunca <strong>Veluxe. garantisi</strong> altındadır. Bu garanti iskelet, sünger ve bazı ürünlerdeki çelik yay sistemleri için geçerlidir.

Kumaş ve suni deri ürünler kullanıldıkça eskidiği için garanti kapsamına girmez. Hatalı kullanıma bağlı deformasyonlar ( çarpma, sürtme, yırtılma v.s. ) garanti kapsamında değildir!

Hakiki deri ile üretilmiş olan ürünlerimizdeki deri çok uzun yıllar dayanıklıdır. Ancak hakiki deri ürünlerinizin bakımlarını yapmanız ürünün daha uzun ömürlü ve ilk günkü formunda kalması için çok önemlidir.

<a href=""https://www.veluxe.com.tr/yardim/#garanti"" target=""_blank"" rel=""noopener""><strong>Ayrıntılı Bilgi &gt;&gt;</strong></a>","Mimarlar İçin","Veluxe tarafından üretilen tüm koltukların 3d max modellerini isteyebilirsiniz.

Tasarımlarınızda kullanmak için gerekli tüm materyalleri bizden alabilir, dilerseniz de görselleştirme talebinde bulunabilirsiniz.

Model istemek, görselleştirme talebi veya toplu alımlarınız için 0542 489 58 26 numaralı hattımızdan bize ulaşabilirsiniz/wp-content/uploads/580148118663177,no,,,no,Whatsapp,,,no,no,no,partially_approved,,,,,,,,,
1508,variation,,,"Ambra İtalyan Deri Modern Koltuk - Kahverengi",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,16500/wp-content/uploads/ent/uploads/2024/10/2.jpg,,,VX-036,,,,,,4,,Renkler,Kahverengi,,1,,,,,,,,,,,,,,,,,,,,,,,1784259391,synced,,,,,,,,,,,,,,,partially_approved,27774502682196779,yes,yes,,product,,,,
1510,variation,,,"Ambra İtalyan Deri Modern Koltuk - Siyah",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,165000,169000,,,,https://www.veluxe.com.tr/wp-content/uploads/2024/10/4.jpg,,,VX-036,,,,,,5,,Renkler,Siyah,,1,,,,,,,,,,,,,,,,,,,,,,,1784259391,synced,,,,,,,,,,,,,,,partially_approved,9249155868449657,yes,yes,,product,,,,/wp-content/uploads//wp-content/uploads//wp-content/uploads//wp-content/uploads//wp-content/uploads//wp-content/uploads//wp-content/uploads//wp-content/uploads//wp-content/uploads//wp-content/uploads/
1511,variation,,,"Ambra İtalyan Deri Modern Koltuk - Beyaz",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,165000,169000,,,,https://www.veluxe.com.tr/wp-content/uploads/2024/10/8.jpg,,,VX-036,,,,,,6,,Renkler,Beyaz,,1,,,,,,,,,,,,,,,,,,,,,,,1784259391,synced,,,,,,,,,,,,,,,partially_approved,27813028258342761,yes,yes,,product,,,,
